feature,mutual_info,anova_f,p_value,rf_importance,mi_rank,anova_rank,rf_rank,avg_rank
Gyro_Mag_spec_entropy,0.003983220040993718,1.470317027575698,0.20051823452269088,0.01861015758767886,29.0,28.0,18.0,25.0
Gyro_X_rms,0.00708362386942607,1.0338743550665432,0.3984780232317622,0.01851341198152,24.0,37.0,19.0,26.666666666666668
Gyro_X_mean,0.02375253821406087,1.201747864877853,0.30923946820310616,0.017393483659367152,20.0,33.0,27.0,26.666666666666668
Heart_Rate_mean,0.005370778880179561,1.6862674520134397,0.13888054954918108,0.01663467395777238,26.0,19.0,35.0,26.666666666666668
Gyro_Z_dom_freq,0.08428593484920999,1.7219472762563848,0.1305296382864885,0.004920089366125338,3.0,18.0,60.0,27.0
Gyro_X_spec_energy,0.030587605694096354,1.5254351034699678,0.18283242814442904,0.015501409568041661,15.0,24.0,44.0,27.666666666666668
Acc_XZ_corr,0.0,1.5050031168104394,0.18922158573173475,0.02004806301771592,50.5,25.0,10.0,28.5
Gyro_Y_mean,0.0,1.1930985752209187,0.3134191251054313,0.022434822558035878,50.5,34.0,3.0,29.166666666666668
Acc_X_mean,0.040019717488216866,0.6946327993647144,0.6280071366255422,0.017095185013042725,10.0,50.0,32.0,30.666666666666668
Acc_Y_mean,0.004492815970689179,1.2075745810557408,0.30644894689443547,0.017090660496472506,28.0,32.0,33.0,31.0
Heart_Rate_rms,0.0,1.5623354331507358,0.17177552261739976,0.017920881389540278,50.5,22.0,22.0,31.5
Acc_Z_spec_entropy,0.0,1.7934155102217257,0.11516625865641958,0.017147221131671393,50.5,17.0,29.0,32.166666666666664
Gyro_Y_std,0.0,1.5376452940631684,0.17910587719752924,0.017805975579105134,50.5,23.0,24.0,32.5
Heart_Rate_std,0.0,1.6322387078411502,0.15245120842038667,0.017306334301402302,50.5,20.0,28.0,32.833333333333336
Gyro_Y_spec_energy,0.0,1.8665922399867871,0.10117516081982686,0.01594928927748129,50.5,14.0,40.0,34.833333333333336
Heart_Rate_spec_energy,0.0,1.492783598630724,0.19313588054205963,0.01709531909259491,50.5,26.0,31.0,35.833333333333336
Acc_Y_spec_entropy,0.014540316488099947,0.2120163953794581,0.9571852468422086,0.018247031637730976,22.0,66.0,20.0,36.0
Acc_Y_zcr,0.0675217120574132,0.6910159514330878,0.630727182675173,0.008194737178070333,5.0,51.0,52.0,36.0
Gyro_Y_zcr,0.05037562639610371,0.8547424177220325,0.5123872038387444,0.005812898519279197,9.0,44.0,57.0,36.666666666666664
Acc_Z_zcr,0.0,1.932515864457982,0.08993756737435649,0.007015441356235172,50.5,12.0,53.0,38.5
Heart_Rate_zcr,0.005353954360972413,1.059199776713433,0.3839112959250056,0.006083501360173078,27.0,36.0,56.0,39.666666666666664
Acc_Z_dom_freq,0.0,2.126375798254384,0.06328959557841166,0.00482725879485539,50.5,10.0,61.0,40.5
Acc_Mag_zcr,0.051764795787974105,0.4958251665473798,0.7792095113725781,0.005618251167821103,8.0,56.0,59.0,41.0
Acc_Y_dom_freq,0.07963891673685808,0.4381984258667567,0.8215727042595343,0.0031237978197763286,4.0,58.0,63.0,41.666666666666664
Heart_Rate_spec_entropy,0.0,0.8593651773179486,0.5092210333980552,0.016464342611798535,50.5,43.0,36.0,43.166666666666664
Acc_X_rms,0.0,0.9277246304016309,0.4637463004230742,0.016153007005112675,50.5,41.0,38.0,43.166666666666664
Gyro_Mag_std,0.0,0.9826410409554196,0.42914018896568695,0.016047060591478604,50.5,40.0,39.0,43.166666666666664
Gyro_Mag_spec_energy,0.0,1.0096499120752331,0.41277781170127215,0.015539289138426648,50.5,38.0,43.0,43.833333333333336
Gyro_Z_mean,0.0,0.6580064361231642,0.6556957833343706,0.017107294718966628,50.5,52.0,30.0,44.166666666666664
Acc_Z_spec_energy,0.02581308131757387,0.20420882184736977,0.9604807886348883,0.013218534026255313,16.0,67.0,51.0,44.666666666666664
Gyro_X_spec_entropy,0.0,0.7359313419473161,0.5972222479362428,0.01619760080061371,50.5,48.0,37.0,45.166666666666664
Gyro_Z_zcr,0.0,1.3284547116900103,0.2530185419076429,0.006310964084695639,50.5,31.0,55.0,45.5
Acc_Z_std,0.024022897582385294,0.14060419597785478,0.9826040980697108,0.013426856453827954,18.0,69.0,50.0,45.666666666666664
Acc_Mag_spec_entropy,0.0,0.6124115838083753,0.6904880944028933,0.01690314982079934,50.5,55.0,34.0,46.5
Acc_Z_rms,0.0,0.700943723806771,0.6232694886633816,0.01579859418796782,50.5,49.0,41.0,46.833333333333336
Acc_X_spec_entropy,0.0,0.18018901126610468,0.9698482948676578,0.01761014727592604,50.5,68.0,25.0,47.833333333333336
Gyro_X_zcr,0.0,0.9908227684578454,0.4241372212533542,0.006564261763415498,50.5,39.0,54.0,47.833333333333336
Acc_X_spec_energy,0.0,0.776399888695474,0.5676353751097472,0.01441054220395727,50.5,46.0,48.0,48.166666666666664
Acc_Mag_dom_freq,0.013167403026334679,0.43440994675411154,0.8242931900033276,0.0026143552518097255,23.0,59.0,67.0,49.666666666666664
Acc_X_std,0.0,0.6532466114396699,0.6593145676230707,0.014394289986434236,50.5,53.0,49.0,50.833333333333336
Gyro_Z_spec_entropy,0.0,0.39755813006996926,0.8502189875806709,0.01570142788777277,50.5,61.0,42.0,51.166666666666664
Acc_Z_mean,0.0,0.4910905218440097,0.7827484417198476,0.014881541244942717,50.5,57.0,46.0,51.166666666666664
Gyro_Mag_zcr,0.0,0.8843083660501199,0.492331663199875,0.004633359991650785,50.5,42.0,62.0,51.5
Acc_X_zcr,0.0,0.7379732902696308,0.595714585278221,0.005760777377181888,50.5,47.0,58.0,51.833333333333336
Gyro_YZ_corr,0.0,0.24625579167447328,0.9413670568280356,0.01517157036346021,50.5,65.0,45.0,53.5
Gyro_XZ_corr,0.0,0.25990771427432763,0.9344747695360639,0.014692553476791232,50.5,64.0,47.0,53.833333333333336
Acc_X_dom_freq,0.0,0.8102490339213884,0.5434103939484018,0.0021843459130979734,50.5,45.0,69.0,54.833333333333336
Heart_Rate_dom_freq,0.0,0.6290691963130854,0.677749378536989,0.0027854069125300496,50.5,54.0,65.0,56.5
Gyro_Y_dom_freq,0.0,0.43346991614688396,0.8249667629308034,0.0029746798137041315,50.5,60.0,64.0,58.166666666666664
Gyro_X_dom_freq,0.0,0.3511201999481178,0.8812004434182119,0.002759053767847523,50.5,62.0,66.0,59.5
Gyro_Mag_dom_freq,0.0,0.2853205079473582,0.9208287252725618,0.002303473538215791,50.5,63.0,68.0,60.5
